cabin,"cabin(n.)小屋、客艙
(無明顯詞性變化)
log cabin 小木屋
first-class cabin 頭等艙
They stayed in a remote mountain cabin.
(他們住在偏遠的山區小木屋裡。)
The flight attendant walked through the cabin.
(空服員走過客艙。)"
cable,"cable(n./v.)電纜、有線電視；發電報
(無明顯詞性變化)
cable TV 有線電視
optical cable 光纜
The workers are laying new cables underground.
(工人們正在地下鋪設新的電纜。)
He cabled the news to his family.
(他把這個消息發電報告訴了家人。)"
cafeteria,"cafeteria(n.)自助餐廳
(無明顯詞性變化)
school cafeteria 學校食堂
staff cafeteria 員工餐廳
Let's meet in the cafeteria for lunch.
(我們午餐在自助餐廳見面吧。)
The cafeteria offers a variety of healthy choices.
(這家餐廳提供多種健康的選擇。)"
campus,"campus(n.)校園
(無明顯詞性變化)
on campus 在校園內
off campus 在校外
The university has a very large and beautiful campus.
(這所大學有一個非常大且美麗的校園。)
Many students live on campus in dormitories.
(許多學生住在校園內的宿舍裡。)"
canyon,"canyon(n.)峽谷
(無明顯詞性變化)
deep canyon 深谷
Grand Canyon 大峽谷
The river flows through the bottom of the canyon.
(河流流經峽谷的底部。)
We hiked down into the canyon yesterday.
(我們昨天徒步走進了峽谷。)"
capable,"capable(adj.)有能力的
capability(n.)能力
capacity(n.)容量、能力
be capable of 能夠...
capable leader 稱職的領導者
She is a very capable woman who can handle any task.
(她是一位非常有能力的女性，能處理任何任務。)
I'm sure he is capable of winning the match.
(我確定他有能力贏得這場比賽。)"
captain,"captain(n./v.)隊長、船長；率領
(無明顯詞性變化)
team captain 隊長
ship's captain 船長
The captain told the crew to prepare for departure.
(船長要求船員準備出發。)
He captained the national football team for five years.
(他擔任國家足球隊隊長五年。)"
capture,"capture(v./n.)捕獲、奪取
(無明顯詞性變化)
capture a photo 捕捉畫面/拍照
capture attention 吸引注意
The police managed to capture the thief.
(警察設法抓住了那個小偷。)
The beauty of the sunset was captured in his painting.
(日落的美景被捕捉在他的畫作中。)"
career,"career(n.)職業、生涯
(無明顯詞性變化)
career path 職涯路徑
pursue a career 追求事業
She is planning a career in teaching.
(她正計畫從事教學事業。)
He had a long career in the military.
(他在軍中度過了漫長的生涯。)"
carpenter,"carpenter(n.)木匠
carpentry(n.)木工手藝
master carpenter 木工大師
carpenter's tools 木匠工具
The carpenter made a beautiful table from oak.
(木匠用橡木做了一張漂亮的桌子。)
He worked as a carpenter for many years.
(他當了多年的木匠。)"
carpet,"carpet(n./v.)地毯；鋪地毯
(無明顯詞性變化)
red carpet 紅地毯
wall-to-wall carpet 滿鋪地毯
The living room floor is covered with a thick carpet.
(客廳地板舖著厚厚的地毯。)
In autumn, the ground is carpeted with fallen leaves.
(秋天時，地面舖滿了落葉。)"
carriage,"carriage(n.)馬車、客車車廂
carry(v.)運送
horse-drawn carriage 馬車
railway carriage 火車車廂
The princess arrived at the palace in a golden carriage.
(公主坐著金色馬車抵達皇宮。)
We found a seat in the second carriage of the train.
(我們在火車的第二節車廂找到了座位。)"
cart,"cart(n./v.)手推車；運送
(無明顯詞性變化)
shopping cart 購物車
golf cart 高爾夫球車
He pushed the cart through the supermarket aisles.
(他推著購物車穿過超市走道。)
The goods were carted to the market every morning.
(貨物每天早上被運送到市場。)"
cast,"cast(v./n.)投擲、演員陣容
(無明顯詞性變化)
cast a spell 施展咒語
cast a vote 投票
The entire cast performed brilliantly on opening night.
(全體演員在首演之夜表現精彩。)
He cast a stone into the lake.
(他向湖中投了一塊石頭。)"
casual,"casual(adj.)偶然的、非正式的
casually(adv.)隨便地
casual clothes 便服
casual meeting 偶然的會面
Friday is a day for casual dress at the office.
(週五是辦公室穿便裝的日子。)
They had a casual conversation about the weather.
(他們隨意聊了聊關於天氣的話題。)"
